No.,テンプレートID,カテゴリ,出力条件,現在の文言,使っている変数,表示位置,備考
238,special_overlap_pd_7_1,パーソナルデイ×暦の日 重なり,personalDay === reduceToSingleDigit(calendarDay) かつ数字 = 7。pickAccent 最優先（seed+17）。PD=月=日のときは月重なり候補とプール合成,今日のあなたの流れも、日付の数字も、どちらも「7」が重なっています。内側を見つめる時間が、いつもより深く響きやすい日です。,なし,末尾アクセント,overlapSource=personal_day。ID接頭辞 special_overlap_pd_
239,special_overlap_pd_7_2,パーソナルデイ×暦の日 重なり,personalDay === reduceToSingleDigit(calendarDay) かつ数字 = 7。pickAccent 最優先（seed+17）。PD=月=日のときは月重なり候補とプール合成,あなたの今日と、日付の流れが「7」で重なっています。静かに感じたことが、今日は内側に残りやすいかもしれません。,なし,末尾アクセント,overlapSource=personal_day。ID接頭辞 special_overlap_pd_
240,special_overlap_pd_8_1,パーソナルデイ×暦の日 重なり,personalDay === reduceToSingleDigit(calendarDay) かつ数字 = 8。pickAccent 最優先（seed+17）。PD=月=日のときは月重なり候補とプール合成,今日のあなたの流れも、日付の数字も、どちらも「8」が重なっています。力や手ごたえのテーマが、現実の中で見えやすい日です。,なし,末尾アクセント,overlapSource=personal_day。ID接頭辞 special_overlap_pd_
241,special_overlap_pd_8_2,パーソナルデイ×暦の日 重なり,personalDay === reduceToSingleDigit(calendarDay) かつ数字 = 8。pickAccent 最優先（seed+17）。PD=月=日のときは月重なり候補とプール合成,あなたの今日と、日付の流れが「8」で重なっています。動いたことが、確かな形につながりやすい日です。,なし,末尾アクセント,overlapSource=personal_day。ID接頭辞 special_overlap_pd_
242,special_overlap_pd_9_1,パーソナルデイ×暦の日 重なり,personalDay === reduceToSingleDigit(calendarDay) かつ数字 = 9。pickAccent 最優先（seed+17）。PD=月=日のときは月重なり候補とプール合成,今日のあなたの流れも、日付の数字も、どちらも「9」が重なっています。区切りや手放しのテーマに、自然と意識が向きやすい日かもしれません。,なし,末尾アクセント,overlapSource=personal_day。ID接頭辞 special_overlap_pd_
243,special_overlap_pd_9_2,パーソナルデイ×暦の日 重なり,personalDay === reduceToSingleDigit(calendarDay) かつ数字 = 9。pickAccent 最優先（seed+17）。PD=月=日のときは月重なり候補とプール合成,あなたの今日と、日付の流れが「9」で重なっています。終わらせることや余韻を感じることが、今日は自然な流れになりそうです。,なし,末尾アクセント,overlapSource=personal_day。ID接頭辞 special_overlap_pd_
244,special_overlap_md_1_1,暦の月×暦の日 重なり,reduceToSingleDigit(calendarMonth) === reduceToSingleDigit(calendarDay) = 1。PD重なりブロックを通過後（seed+19）。PD=月またはPD=日のときは通常出ない,今月も、今日の日付も、どちらも「1」が重なっています。始まりや切り替えの流れが、暦の中でも少し強く感じられる日です。,なし,末尾アクセント,overlapSource=calendar_md。ID接頭辞 special_overlap_md_
245,special_overlap_md_1_2,暦の月×暦の日 重なり,reduceToSingleDigit(calendarMonth) === reduceToSingleDigit(calendarDay) = 1。PD重なりブロックを通過後（seed+19）。PD=月またはPD=日のときは通常出ない,今月と今日、暦の数字が「1」で重なっています。小さな一歩が、今日は自然に感じられるかもしれません。,なし,末尾アクセント,overlapSource=calendar_md。ID接頭辞 special_overlap_md_
246,special_overlap_md_2_1,暦の月×暦の日 重なり,reduceToSingleDigit(calendarMonth) === reduceToSingleDigit(calendarDay) = 2。PD重なりブロックを通過後（seed+19）。PD=月またはPD=日のときは通常出ない,今月も、今日の日付も、どちらも「2」が重なっています。受け取ることや調和の流れが、暦の中でも少し近くに感じられる日です。,なし,末尾アクセント,overlapSource=calendar_md。ID接頭辞 special_overlap_md_
247,special_overlap_md_2_2,暦の月×暦の日 重なり,reduceToSingleDigit(calendarMonth) === reduceToSingleDigit(calendarDay) = 2。PD重なりブロックを通過後（seed+19）。PD=月またはPD=日のときは通常出ない,今月と今日、暦の数字が「2」で重なっています。人との距離感や、自分の感覚が見えやすい日かもしれません。,なし,末尾アクセント,overlapSource=calendar_md。ID接頭辞 special_overlap_md_
248,special_overlap_md_3_1,暦の月×暦の日 重なり,reduceToSingleDigit(calendarMonth) === reduceToSingleDigit(calendarDay) = 3。PD重なりブロックを通過後（seed+19）。PD=月またはPD=日のときは通常出ない,今月も、今日の日付も、どちらも「3」が重なっています。楽しさや表現の流れが、暦の中でも動きやすい日です。,なし,末尾アクセント,overlapSource=calendar_md。ID接頭辞 special_overlap_md_
249,special_overlap_md_3_2,暦の月×暦の日 重なり,reduceToSingleDigit(calendarMonth) === reduceToSingleDigit(calendarDay) = 3。PD重なりブロックを通過後（seed+19）。PD=月またはPD=日のときは通常出ない,今月と今日、暦の数字が「3」で重なっています。軽やかに過ごしたことが、次の楽しさにつながっていきます。,なし,末尾アクセント,overlapSource=calendar_md。ID接頭辞 special_overlap_md_
250,special_overlap_md_4_1,暦の月×暦の日 重なり,reduceToSingleDigit(calendarMonth) === reduceToSingleDigit(calendarDay) = 4。PD重なりブロックを通過後（seed+19）。PD=月またはPD=日のときは通常出ない,今月も、今日の日付も、どちらも「4」が重なっています。整えることや土台を固める流れが、暦の中でも感じやすい日です。,なし,末尾アクセント,overlapSource=calendar_md。ID接頭辞 special_overlap_md_
251,special_overlap_md_4_2,暦の月×暦の日 重なり,reduceToSingleDigit(calendarMonth) === reduceToSingleDigit(calendarDay) = 4。PD重なりブロックを通過後（seed+19）。PD=月またはPD=日のときは通常出ない,今月と今日、暦の数字が「4」で重なっています。丁寧に形にしたことが、今日は静かな支えになっていきます。,なし,末尾アクセント,overlapSource=calendar_md。ID接頭辞 special_overlap_md_
252,special_overlap_md_5_1,暦の月×暦の日 重なり,reduceToSingleDigit(calendarMonth) === reduceToSingleDigit(calendarDay) = 5。PD重なりブロックを通過後（seed+19）。PD=月またはPD=日のときは通常出ない,今月も、今日の日付も、どちらも「5」が重なっています。変化や動きの流れが、暦の中でも感じやすい日です。,なし,末尾アクセント,overlapSource=calendar_md。ID接頭辞 special_overlap_md_
253,special_overlap_md_5_2,暦の月×暦の日 重なり,reduceToSingleDigit(calendarMonth) === reduceToSingleDigit(calendarDay) = 5。PD重なりブロックを通過後（seed+19）。PD=月またはPD=日のときは通常出ない,今月と今日、暦の数字が「5」で重なっています。いつもと少し違う選択が、次の景色につながりやすい日です。,なし,末尾アクセント,overlapSource=calendar_md。ID接頭辞 special_overlap_md_
254,special_overlap_md_6_1,暦の月×暦の日 重なり,reduceToSingleDigit(calendarMonth) === reduceToSingleDigit(calendarDay) = 6。PD重なりブロックを通過後（seed+19）。PD=月またはPD=日のときは通常出ない,今月も、今日の日付も、どちらも「6」が重なっています。やさしさやつながりの流れが、暦の中でも近くに感じられる日です。,なし,末尾アクセント,overlapSource=calendar_md。ID接頭辞 special_overlap_md_
255,special_overlap_md_6_2,暦の月×暦の日 重なり,reduceToSingleDigit(calendarMonth) === reduceToSingleDigit(calendarDay) = 6。PD重なりブロックを通過後（seed+19）。PD=月またはPD=日のときは通常出ない,今月と今日、暦の数字が「6」で重なっています。誰かへの思いや、自分へのケアを大切にしたい日です。,なし,末尾アクセント,overlapSource=calendar_md。ID接頭辞 special_overlap_md_
256,special_overlap_md_7_1,暦の月×暦の日 重なり,reduceToSingleDigit(calendarMonth) === reduceToSingleDigit(calendarDay) = 7。PD重なりブロックを通過後（seed+19）。PD=月またはPD=日のときは通常出ない,今月も、今日の日付も、どちらも「7」が重なっています。内側を見つめる流れが、暦の中でも静かに深まりやすい日です。,なし,末尾アクセント,overlapSource=calendar_md。ID接頭辞 special_overlap_md_
257,special_overlap_md_7_2,暦の月×暦の日 重なり,reduceToSingleDigit(calendarMonth) === reduceToSingleDigit(calendarDay) = 7。PD重なりブロックを通過後（seed+19）。PD=月またはPD=日のときは通常出ない,今月と今日、暦の数字が「7」で重なっています。静かに感じたことが、あとから大切な気づきになるかもしれません。,なし,末尾アクセント,overlapSource=calendar_md。ID接頭辞 special_overlap_md_
258,special_overlap_md_8_1,暦の月×暦の日 重なり,reduceToSingleDigit(calendarMonth) === reduceToSingleDigit(calendarDay) = 8。PD重なりブロックを通過後（seed+19）。PD=月またはPD=日のときは通常出ない,今月も、今日の日付も、どちらも「8」が重なっています。成果や手ごたえの流れが、暦の中でも見えやすい日です。,なし,末尾アクセント,overlapSource=calendar_md。ID接頭辞 special_overlap_md_
259,special_overlap_md_8_2,暦の月×暦の日 重なり,reduceToSingleDigit(calendarMonth) === reduceToSingleDigit(calendarDay) = 8。PD重なりブロックを通過後（seed+19）。PD=月またはPD=日のときは通常出ない,今月と今日、暦の数字が「8」で重なっています。動いたことが、現実の中で少しずつ力になりやすい日です。,なし,末尾アクセント,overlapSource=calendar_md。ID接頭辞 special_overlap_md_
260,special_overlap_md_9_1,暦の月×暦の日 重なり,reduceToSingleDigit(calendarMonth) === reduceToSingleDigit(calendarDay) = 9。PD重なりブロックを通過後（seed+19）。PD=月またはPD=日のときは通常出ない,今月も、今日の日付も、どちらも「9」が重なっています。区切りや手放しの流れが、暦の中でも意識に上りやすい日です。,なし,末尾アクセント,overlapSource=calendar_md。ID接頭辞 special_overlap_md_
261,special_overlap_md_9_2,暦の月×暦の日 重なり,reduceToSingleDigit(calendarMonth) === reduceToSingleDigit(calendarDay) = 9。PD重なりブロックを通過後（seed+19）。PD=月またはPD=日のときは通常出ない,今月と今日、暦の数字が「9」で重なっています。終わらせることや余韻を感じることが、今日は自然な流れになりそうです。,なし,末尾アクセント,overlapSource=calendar_md。ID接頭辞 special_overlap_md_
262,fallback_no_base_match,フォールバック（ベース未一致）,actionCategory × personalDay に一致する baseComments が無いとき。末尾アクセントは付かない,今日の記録には、あなたにしか分からない小さな意味があります。書き残したことそのものが、明日の自分への手紙になります。,なし,全文単独（ベース・アクセントの区別なし）,generateDiaryReading.ts 直書き。usedTemplateIds=[]
