No.,テンプレートID,活動カテゴリ（DiaryActionCategory）,パーソナルデイ,現在の文言,変数,表示位置,備考
128,rest_2_a,rest,2,人や出来事に敏感になりやすい分、休むことで自分の感覚を取り戻せたかもしれません。静かな時間は、心の調和をやさしく整えてくれます。,なし,前半（ベース本文）,generateDiaryReading のベース本文（末尾アクセントの前）
129,rest_3_a,rest,3,無理に楽しまなくていい日もあります。休むことで、また自然に笑える余白が戻ってきます。今日のゆるやかな時間も、大切な一部です。,なし,前半（ベース本文）,generateDiaryReading のベース本文（末尾アクセントの前）
130,rest_4_a,rest,4,しっかり休むことは、崩れない自分を作るための大事な時間です。何もしないように見えても、土台は静かに整えられています。,なし,前半（ベース本文）,generateDiaryReading のベース本文（末尾アクセントの前）
131,rest_5_a,rest,5,動き続けるだけが変化ではありません。立ち止まったことで、次に向かう方向が見えやすくなることがあります。,なし,前半（ベース本文）,generateDiaryReading のベース本文（末尾アクセントの前）
132,rest_6_a,rest,6,誰かのために動く前に、自分を満たす時間が必要なこともあります。休んだ分だけ、またあたたかく関われる力が戻ってきます。,なし,前半（ベース本文）,generateDiaryReading のベース本文（末尾アクセントの前）
133,rest_7_a,rest,7,外へ向かうより、内側に戻ることで整いやすい日があります。ゆっくり過ごした時間は、心の奥を静かに満たしています。,なし,前半（ベース本文）,generateDiaryReading のベース本文（末尾アクセントの前）
134,rest_8_a,rest,8,成果を出すためにも、エネルギーを戻す時間は欠かせません。今日の休息は、次に動くための現実的な力になっています。,なし,前半（ベース本文）,generateDiaryReading のベース本文（末尾アクセントの前）
135,rest_9_a,rest,9,疲れや余計な力をゆっくり抜くことで、心の中に新しい余白が生まれます。休むことも、ひとつの区切りです。,なし,前半（ベース本文）,generateDiaryReading のベース本文（末尾アクセントの前）
136,sad_1_a,sad,1,新しい流れに入る前には、こうした感情が出ることもあります。その気持ちも、次の一歩につながっています。,なし,前半（ベース本文）,generateDiaryReading のベース本文（末尾アクセントの前）
137,sad_2_a,sad,2,悲しさを感じたことも、心がちゃんと動いている証です。無理に消さず、そのまま受け止めて大丈夫です。,なし,前半（ベース本文）,generateDiaryReading のベース本文（末尾アクセントの前）
138,sad_3_a,sad,3,気持ちが明るくならない日もあります。悲しさがある日も、心がちゃんと動いている証です。今はそのままで大丈夫です。,なし,前半（ベース本文）,generateDiaryReading のベース本文（末尾アクセントの前）
139,sad_4_a,sad,4,悲しい気持ちが、じんわり長く残ったかもしれません。その時間も、心の土台を静かに作っています。,なし,前半（ベース本文）,generateDiaryReading のベース本文（末尾アクセントの前）
140,sad_5_a,sad,5,悲しさも、流れの中で少しずつ変わっていきます。無理に止めず、ゆっくり流していきましょう。,なし,前半（ベース本文）,generateDiaryReading のベース本文（末尾アクセントの前）
141,sad_6_a,sad,6,人との関係や思いの中で、強く残った気持ちがあったかもしれません。その気持ちは、大切なものに心を向けていた証かもしれません。,なし,前半（ベース本文）,generateDiaryReading のベース本文（末尾アクセントの前）
142,sad_7_a,sad,7,言葉にならない気持ちも、内側で静かに整理されていきます。無理に答えを出さなくて大丈夫です。,なし,前半（ベース本文）,generateDiaryReading のベース本文（末尾アクセントの前）
143,sad_8_a,sad,8,悲しさも、はっきりとした形で残ったかもしれません。少しずつ外に出していけると、心も少し楽になっていきそうです。,なし,前半（ベース本文）,generateDiaryReading のベース本文（末尾アクセントの前）
144,sad_9_a,sad,9,その気持ちは、少しずつ心の外へ流れていく途中かもしれません。今は余韻の中で、ゆっくり整えていければ大丈夫です。,なし,前半（ベース本文）,generateDiaryReading のベース本文（末尾アクセントの前）
145,very_happy_1_a,very_happy,1,その喜びは、これからの自分を動かすきっかけになるかもしれません。今日の感覚を、大切に持ち続けていきましょう。,なし,前半（ベース本文）,generateDiaryReading のベース本文（末尾アクセントの前）
146,very_happy_2_a,very_happy,2,誰かとの関係の中で感じた喜びだったかもしれません。そのあたたかさは、心の中に静かに残ります。,なし,前半（ベース本文）,generateDiaryReading のベース本文（末尾アクセントの前）
147,very_happy_3_a,very_happy,3,うれしい気持ちを素直に感じられたこと自体が、とても良い流れです。その明るさは、これからにもつながっていきます。,なし,前半（ベース本文）,generateDiaryReading のベース本文（末尾アクセントの前）
148,very_happy_4_a,very_happy,4,うれしかった出来事が、安心や安定として残りやすい日でした。今日の喜びは、心の土台の一部になっています。,なし,前半（ベース本文）,generateDiaryReading のベース本文（末尾アクセントの前）
149,very_happy_5_a,very_happy,5,思いがけない喜びや、動いたことで得られた嬉しさだったかもしれません。その感覚は、次の変化にもつながっていきます。,なし,前半（ベース本文）,generateDiaryReading のベース本文（末尾アクセントの前）
150,very_happy_6_a,very_happy,6,誰かと共有したり、誰かのために感じた喜びだったかもしれません。そのやさしさは、長く心に残ります。,なし,前半（ベース本文）,generateDiaryReading のベース本文（末尾アクセントの前）
151,very_happy_7_a,very_happy,7,表面的な喜びだけでなく、心の奥にじんわり残る感覚があったかもしれません。その余韻を、大切にしていい日です。,なし,前半（ベース本文）,generateDiaryReading のベース本文（末尾アクセントの前）
152,very_happy_8_a,very_happy,8,うれしい出来事が、自信や手ごたえとして実感できた可能性があります。その感覚は、次の行動を静かに支えてくれます。,なし,前半（ベース本文）,generateDiaryReading のベース本文（末尾アクセントの前）
153,very_happy_9_a,very_happy,9,うれしかった出来事が、これまでの流れの中で意味を持って見えてきたかもしれません。その感謝は、次へとつながっています。,なし,前半（ベース本文）,generateDiaryReading のベース本文（末尾アクセントの前）
154,work_study_1_a,work_study,1,自分から動いた一日には、ちゃんと意味があります。小さな一歩でも、それはこれからの道の始まりになっていくものです。,なし,前半（ベース本文）,generateDiaryReading のベース本文（末尾アクセントの前）
155,work_study_2_a,work_study,2,がんばった時間の中に、誰かの言葉や空気を受け取りながら進めた瞬間があったかもしれません。静かな積み重ねも、やがて前進に変わっていきます。,なし,前半（ベース本文）,generateDiaryReading のベース本文（末尾アクセントの前）
156,work_study_3_a,work_study,3,ただこなすだけでなく、少し自分らしさを混ぜられた時間があったなら、それはとても良い働き方です。今日の中に、未来の楽しさの種が残っています。,なし,前半（ベース本文）,generateDiaryReading のベース本文（末尾アクセントの前）
157,work_study_4_a,work_study,4,地道な作業や面倒なことほど、あとから自分を支えてくれます。派手ではなくても、今日のがんばりは確かな基礎になっています。,なし,前半（ベース本文）,generateDiaryReading のベース本文（末尾アクセントの前）
158,work_study_5_a,work_study,5,仕事や勉強の中でも、いつもと違うやり方や小さな気づきがあったかもしれません。その変化を少し受け入れた分だけ、次の選択肢が静かに広がっていきます。,なし,前半（ベース本文）,generateDiaryReading のベース本文（末尾アクセントの前）
159,work_study_6_a,work_study,6,誰かの役に立とうとした時間や、丁寧にやり遂げようとした気持ちは、静かに信頼を育てています。その積み重ねは、じわりと周りに伝わっていくものです。,なし,前半（ベース本文）,generateDiaryReading のベース本文（末尾アクセントの前）
160,work_study_7_a,work_study,7,外から見えにくい努力でも、内側では大切な理解が着実に進んでいます。答えを急がず、じっくり考えた時間にも、ちゃんと価値があります。,なし,前半（ベース本文）,generateDiaryReading のベース本文（末尾アクセントの前）
161,work_study_8_a,work_study,8,今日の積み重ねは、現実を動かす力になっています。まだ途中でも、がんばったことは手ごたえへと近づいていきます。,なし,前半（ベース本文）,generateDiaryReading のベース本文（末尾アクセントの前）
162,work_study_9_a,work_study,9,がんばった中で、終わらせるものや手放すものが見えてきたかもしれません。今日の経験は、次の段階へ進むための、静かな整理になっています。,なし,前半（ベース本文）,generateDiaryReading のベース本文（末尾アクセントの前）
